FID_Ottawa,addr_city,addr_house,addr_postc,addr_stree,Title,phone,shoptype,website,FID_Otta_1,flag,ONS_ID,NeighName,POPEST,Address,Longitude,Latitude
98,Ottawa,2321,K0A 2T0,Andrew Street,Mulligan's Grocery,+1 6134593333,Convenience stores and gas stations,Not Available,90,1,70,North Gower - Kars,5213,"2321 Andrew Street, Ottawa,K0A 2T0",-75.71641482,45.1324931
114,Osgoode,5566,K0A 2W0,Osgoode Main Street,Raymonds,-5090,Convenience stores and gas stations,http://www.raymonds.ca/,92,1,81,Osgoode - Vernon,5112,"5566 Osgoode Main Street, Osgoode,K0A 2W0",-75.60655779,45.14571001
256,Osgoode,5669,K0A 2W0,Cabin St.,Foodland,16138260355,Supermarkets and traditional formats,http://ontario.foodland.ca/stores/osgoode/?utm_source=G&utm_medium=lpm&utm_campaign=Sobeys,92,1,81,Osgoode - Vernon,5112,"5669 Cabin St., Osgoode,K0A 2W0",-75.60199178,45.14967901
115,Richmond,6138,K0A 2Z0,Perth Street,Circle K,-4491,Convenience stores and gas stations,https://www.circlek.com/store-locator/CA/richmond/6138-perth-st/0868029,82,0,944,Richmond,7669,"6138 Perth Street, Richmond,K0A 2Z0",-75.83900937,45.19386301
231,Richmond,5925,K0A 2Z0,Perth Street,C-Store,-4462,Convenience stores and gas stations,https://macewen.ca/,82,0,944,Richmond,7669,"5925 Perth Street, Richmond,K0A 2Z0",-75.82970576,45.20088321
118,Ottawa,5911,K0A 2Z0,Perth Street,Your Independent Grocer,-8705,Supermarkets and traditional formats,https://www.yourindependentgrocer.ca/store-locator/details/0866,82,0,944,Richmond,7669,"5911 Perth Street, Ottawa,K0A 2Z0",-75.82896436,45.20311201
117,Manotick,1160,K4M 1A5,Beaverwood Road,Your Independent Grocer,-4132,Supermarkets and traditional formats,https://www.yourindependentgrocer.ca/store-locator/details/1618,91,1,64,Manotick,9040,"1160 Beaverwood Road, Manotick,K4M 1A5",-75.68307042,45.22259592
501,Manotick,1160,K4M 1A3, Beaverwood Rd,Rexall,-3728,Drugstores,https://www.rexall.ca/storelocator/store/6971?utm_source=G&utm_medium=LPM&utm_campaign=RexallPharmaPlus,91,1,64,Manotick,9040,"1160  Beaverwood Rd, Manotick,K4M 1A3",-75.68216361,45.22303664
261,Manotick,5511,K4M 1A7,Manotick Main Street,Circle K,-6195,Convenience stores and gas stations,https://www.circlek.com/store-locator/CA/manotick/5511-manotick-main-st/0868044,91,1,64,Manotick,9040,"5511 Manotick Main Street, Manotick,K4M 1A7",-75.68636992,45.22726562
449,Manotick,5230,K4M 0V1,Mitch Owens Road,Shoppers Drug Mart,-8041,Drugstores,https://www.shoppersdrugmart.ca/en/store-locator/store/1366,91,1,64,Manotick,9040,"5230 Mitch Owens Road, Manotick,K4M 0V1",-75.67456681,45.23383052
